(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
2968,Improved collection efficiency of irrigation water charges,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P084790; AB | Agricultural extension and research, AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, BH | Sub-national government administration, , 0025 | Administrative and civil service reform, 0057 | Participation and civic engagement, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management; PDO Indicator; Text",,,,,,,,,
2969,Improved patient satisfaction as shown by periodic surveys,,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P075058; BH | Sub-national government administration, JA | Health, JB | Other social services, , , 0060 | Indigenous peoples, 0063 | Child health, 0067 | Health system performance, 0069 | Population and reproductive health, 0089 | Injuries and non-communicable diseases; PDO Indicator; Text",,,,,,,,,
2970,Improved revenue and financial management of the pension programs,,,5,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P113421; BE | Compulsory pension and unemployment insurance, BS | Public administration- Other social services, , , , 0025 | Administrative and civil service reform, 0054 | Social safety nets, 0056 | Other social protection and risk management, , ; PDO Indicator; Text",rewording needed,,,,,,,,
2972,Increase cropping intensity,,,4,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P128276; AT | Forestry, JB | Other social services, WD | Flood protection, WZ | General water, sanitation and flood protection sector, , 0052 | Natural disaster management, 0057 | Participation and civic engagement, 0062 | Other social development, 0082 | Environmental policies and institutions, 0085 | Water resource management; PDO Indicator; Percentage",rewording needed,,,,,,,,
2973,"Increase in annual average daily traffic on project roads in the categories bus, truck, microbus and jeep.",,,"4, 5",,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P083923; TI | Rural and Inter-Urban Roads and Highways, , , , , 0026 | Decentralization, 0062 | Other social development, 0078 | Rural services and infrastructure, , ; PDO Indicator; Number",rewording needed,,,,,,,,
2974,Increase in crop diversification,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P084792; AB | Agricultural extension and research, AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, TI | Rural and Inter-Urban Roads and Highways, YA | Agro-industry, marketing, and trade, 0075 | Rural markets, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0079 | Other rural development, ; PDO Indicator; Text",rewording needed,,,,,,,,
2975,Increase in irrigated area,,,4,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P120398; AI | Irrigation and drainage, BL | Public administration- Agriculture, fishing and forestry, , , , 0078 | Rural services and infrastructure, , , , ; PDO Indicator; Percentage",,,,,,,,,
2976,Increase in municipal own source revenues in the participating municipalities.,,,5,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P120265; BH | Sub-national government administration, , , , , 0072 | Municipal finance, 0073 | Municipal governance and institution building, 0102 | City-wide Infrastructure and Service Delivery, , ; PDO Indicator; Percentage",,,,,,,,,
2977,Increase in Permanent Stormwater Pumping Capacity,,,4,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P093988; BW | Public administration- Water, sanitation and flood protection, WC | Water supply, WD | Flood protection, WT | Wastewater Collection and Transportation, WV | Wastewater Treatment and Disposal, 0071 | Urban services and housing for the poor, 0102 | City-wide Infrastructure and Service Delivery, , , ; PDO Indicator; Cubic Meter(m3)",rewording needed,,,,,,,,
2978,Increase in productivity of selected (main) crops.,,,4,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P099296; AB | Agricultural extension and research, AI | Irrigation and drainage, AZ | General agriculture, fishing and forestry sector, BC | Central government administration, BH | Sub-national government administration, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, , ; PDO Indicator; Text",,,,,,,,,
2979,Increase in the number of households with metered connections to the grid in the target area of Pul-e-Khumri,,,5,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P111943; BU | Public administration- Energy and mining, LD | Power, , , , 0071 | Urban services and housing for the poor, , , , ; PDO Indicator; Number",,,,,,,,,
2980,"Increased % of people from all social groups perceive that the Gram Panchayat is increasingly ?inclusive, responsive, and accountable? in helping to address their individual and community issues",,,"1, 5",,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P102627; BH | Sub-national government administration, JA | Health, WZ | General water, sanitation and flood protection sector, , , 0026 | Decentralization, 0027 | Public expenditure, financial management and procurement, 0057 | Participation and civic engagement, 0068 | Nutrition and food security, 0078 | Rural services and infrastructure; PDO Indicator; Percentage",rewording needed,,,,,,,,
2981,Increased accuracy and timeliness of weather forecasts (verified using standard methods for forecast verification - WMO WWRP/WCRP),,,4,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P127508; AZ | General agriculture, fishing and forestry sector, BL | Public administration- Agriculture, fishing and forestry, BW | Public administration- Water, sanitation and flood protection, WZ | General water, sanitation and flood protection sector, , 0052 | Natural disaster management, 0081 | Climate change, 0085 | Water resource management, 0094 | e-Government, ; PDO Indicator; Text",,,,,,,,,
2982,Increased awareness and positive change in attitude towards persons with disability and children at risk in communities where services provided.,,,5,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P106332; BS | Public administration- Other social services, JB | Other social services, , , , 0054 | Social safety nets, 0057 | Participation and civic engagement, , , ; PDO Indicator; Text",rewording needed,,,,,,,,
2983,Increased Capacity of Rehabilitated Drainage Canals,,,4,,,Bangladesh,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P093988; BW | Public administration- Water, sanitation and flood protection, WC | Water supply, WD | Flood protection, WT | Wastewater Collection and Transportation, WV | Wastewater Treatment and Disposal, 0071 | Urban services and housing for the poor, 0102 | City-wide Infrastructure and Service Delivery, , , ; PDO Indicator; Cubic Meter(m3)",rewording needed,,,,,,,,
2984,Increased crop production per unit of water delivered (measured in kg per cubic meter of water).,,,4,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P073370; AB | Agricultural extension and research, AI | Irrigation and drainage, AJ | Animal production, BH | Sub-national government administration, , 0025 | Administrative and civil service reform, 0077 | Rural policies and institutions, 0078 | Rural services and infrastructure, 0085 | Water resource management, ; PDO Indicator; Number",,,,,,,,,
2985,"Increased frequency of trips to nearest essential services (including town markets, schools and health facilities) connected by the roads improved under the project",,,5,,,Afghanistan,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P125961; BV | Public administration- Transportation, TI | Rural and Inter-Urban Roads and Highways, , , , 0058 | Conflict prevention and post-conflict reconstruction, , , , ; PDO Indicator; Percentage",rewording needed,,,,,,,,
2986,Increased generation capacity (MW),,,4,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P043311; BC | Central government administration, FH | SME Finance, JB | Other social services, LH | Hydropower, LT | Transmission and Distribution of Electricity, 0027 | Public expenditure, financial management and procurement, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, 0081 | Climate change, 0099 | Other Private Sector Development; PDO Indicator; Text",,,,,,,,,
2987,Increased number of project GPs submit annual financial statement within four months from the end of fiscal year for external audit.,,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P102627; BH | Sub-national government administration, JA | Health, WZ | General water, sanitation and flood protection sector, , , 0026 | Decentralization, 0027 | Public expenditure, financial management and procurement, 0057 | Participation and civic engagement, 0068 | Nutrition and food security, 0078 | Rural services and infrastructure; PDO Indicator; Number",rewording needed,,,,,,,,
2988,Increased transmission capacity,,,4,,,Nepal,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P043311; BC | Central government administration, FH | SME Finance, JB | Other social services, LH | Hydropower, LT | Transmission and Distribution of Electricity, 0027 | Public expenditure, financial management and procurement, 0041 | Micro, Small and Medium Enterprise support, 0078 | Rural services and infrastructure, 0081 | Climate change, 0099 | Other Private Sector Development; PDO Indicator; Text",,,,,,,,,
2989,Indicator two: A well-established performance based grant system is increasingly financed by GoK,,,5,,,India,"http://operationsportal2.worldbank.org/wb/opsportal/ttw/about?projId=P102624; BH | Sub-national government administration, JB | Other social services, , , , 0026 | Decentralization, 0027 | Public expenditure, financial management and procurement, 0057 | Participation and civic engagement, 0073 | Municipal governance and institution building, 0077 | Rural policies and institutions; PDO Indicator; Amount(USD)",rewording needed,,,,,,,,
